               Current Harmonic Test Report

Date/Time:             	22.11.2019 10:54:24

======================== Setting ========================
Regulation:            	IEC61000-3-2
Class:                 	C > 25W
Current Limit Ratio:   	1,0
Meas. Mode:            	Stable

======================== Reading ========================
Voltage Test Result:   	PASS
Current Test Result:   	PASS
V(V)                   	230,48
I(A)                   	0,1363
P(W)                   	29,298
PF                     	0,9322
F(Hz)                  	49,996
I_Fund(A)              	0,1351
THDi(%)                	10,723
V_Fund(V)              	230,47
I Start Phase(degree):	----
I Peak Phase(degree):	----
I End Phase(degree):	----	

**** Voltage Reading ****
Unit: %
No.	Value	Limit		Pass/Fail
2	0,0176	0,2000		Pass
3	0,0451	0,9000		Pass
4	0,0000	0,2000		Pass
5	0,0084	0,4000		Pass
6	0,0131	0,2000		Pass
7	0,0072	0,3000		Pass
8	0,0042	0,2000		Pass
9	0,0051	0,2000		Pass
10	0,0034	0,2000		Pass
11	0,0209	0,1000		Pass
12	0,0071	0,1000		Pass
13	0,0037	0,1000		Pass
14	0,0025	0,1000		Pass
15	0,0059	0,1000		Pass
16	0,0076	0,1000		Pass
17	0,0060	0,1000		Pass
18	0,0021	0,1000		Pass
19	0,0051	0,1000		Pass
20	0,0014	0,1000		Pass
21	0,0014	0,1000		Pass
22	0,0014	0,1000		Pass
23	0,0100	0,1000		Pass
24	0,0005	0,1000		Pass
25	0,0016	0,1000		Pass
26	0,0033	0,1000		Pass
27	0,0024	0,1000		Pass
28	0,0010	0,1000		Pass
29	0,0018	0,1000		Pass
30	0,0090	0,1000		Pass
31	0,0020	0,1000		Pass
32	0,0007	0,1000		Pass
33	0,0043	0,1000		Pass
34	0,0047	0,1000		Pass
35	0,0098	0,1000		Pass
36	0,0028	0,1000		Pass
37	0,0106	0,1000		Pass
38	0,0011	0,1000		Pass
39	0,0017	0,1000		Pass
40	0,0012	0,1000		Pass

**** Current Reading ****
Unit: %
No.	Value	Limit		Pass/Fail
2	0,8285	2,0000		Pass
3	7,9178	27,966		Pass
4	0,2117	------		Pass
5	4,2373	10,000		Pass
6	0,2049	------		Pass
7	2,2894	7,0000		Pass
8	0,2718	------		Pass
9	1,9894	5,0000		Pass
10	0,1741	------		Pass
11	2,4325	3,0000		Pass
12	0,1330	------		Pass
13	0,1863	3,0000		Pass
14	0,2079	------		Pass
15	0,2178	3,0000		Pass
16	0,1193	------		Pass
17	1,4168	3,0000		Pass
18	0,0252	------		Pass
19	1,2789	3,0000		Pass
20	0,2703	------		Pass
21	1,4662	3,0000		Pass
22	0,3278	------		Pass
23	1,3057	3,0000		Pass
24	0,3404	------		Pass
25	1,3232	3,0000		Pass
26	0,0665	------		Pass
27	1,8239	3,0000		Pass
28	0,1837	------		Pass
29	1,0383	3,0000		Pass
30	0,1064	------		Pass
31	1,5324	3,0000		Pass
32	0,2657	------		Pass
33	0,8026	3,0000		Pass
34	0,2288	------		Pass
35	0,3857	3,0000		Pass
36	0,2433	------		Pass
37	0,2413	3,0000		Pass
38	0,2660	------		Pass
39	0,7313	3,0000		Pass
40	0,1133	------		Pass
